Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,492
design__inferred_latch__count,0
design__instance__count,13818
design__instance__area,101343
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,79
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,393
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.0007678108522668481
power__switching__total,0.0002924564469140023
power__leakage__total,9.392480393444202e-08
power__total,0.0010603612754493952
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.1665
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.1665
timing__hold__ws__corner:nom_tt_025C_1v80,0.296426
timing__setup__ws__corner:nom_tt_025C_1v80,58.312744
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.296426
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,93.181526
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,893
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,393
design__max_cap_violation__count__corner:nom_ss_100C_1v60,4
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.278474
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.278474
timing__hold__ws__corner:nom_ss_100C_1v60,0.853462
timing__setup__ws__corner:nom_ss_100C_1v60,57.11359
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.853462
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,87.012146
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,13
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,393
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.115846
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.115846
timing__hold__ws__corner:nom_ff_n40C_1v95,0.097766
timing__setup__ws__corner:nom_ff_n40C_1v95,58.807774
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.097766
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,95.649261
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1204
design__max_fanout_violation__count,393
design__max_cap_violation__count,5
clock__skew__worst_hold,-0.104485
clock__skew__worst_setup,-0.303716
timing__hold__ws,0.095649
timing__setup__ws,57.005104
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0.0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.095649
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,86.709946
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 350.0 350.0
design__core__bbox,5.52 10.88 344.08 337.28
flow__warnings__count,1
flow__errors__count,0
design__io,211
design__die__area,122500
design__core__area,110506
design__instance__count__stdcell,13818
design__instance__area__stdcell,101343
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.917086
design__instance__utilization__stdcell,0.917086
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,209
design__io__hpwl,19277028
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,247082
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,857
antenna__violating__nets,9
antenna__violating__pins,9
route__antenna_violation__count,9
route__net,8684
route__net__special,2
route__drc_errors__iter:1,10962
route__wirelength__iter:1,320523
route__drc_errors__iter:2,4419
route__wirelength__iter:2,316812
route__drc_errors__iter:3,4198
route__wirelength__iter:3,315125
route__drc_errors__iter:4,585
route__wirelength__iter:4,313996
route__drc_errors__iter:5,66
route__wirelength__iter:5,313913
route__drc_errors__iter:6,1
route__wirelength__iter:6,313897
route__drc_errors__iter:7,0
route__wirelength__iter:7,313905
route__drc_errors,0
route__wirelength,313905
route__vias,77248
route__vias__singlecut,77248
route__vias__multicut,0
design__disconnected_pin__count,25
design__critical_disconnected_pin__count,0
route__wirelength__max,1110.57
timing__unannotated_net__count__corner:nom_tt_025C_1v80,99
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,99
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,99
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,55
design__max_fanout_violation__count__corner:min_tt_025C_1v80,393
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.149931
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.149931
timing__hold__ws__corner:min_tt_025C_1v80,0.295175
timing__setup__ws__corner:min_tt_025C_1v80,58.378925
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.295175
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,93.382416
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,99
